species	code	habitat
Craugastor omoaensis	1.9	Forest - Subtropical/Tropical Moist Montane
Craugastor omoaensis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Cryptonanus ignitus	1.6	Forest - Subtropical/Tropical Moist Lowland
Cryptoprocta spelea	18	Unknown
Cyanea dolichopoda	1.9	Forest - Subtropical/Tropical Moist Montane
Cyanea eleeleensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Cyanea linearifolia	1.6	Forest - Subtropical/Tropical Moist Lowland
Cyanea mauiensis	1.5	Forest - Subtropical/Tropical Dry
Cyanea mauiensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Cyanea minutiflora	1.6	Forest - Subtropical/Tropical Moist Lowland
Cyanea parvifolia	3.6	Shrubland - Subtropical/Tropical Moist
Cyanea sessilifolia	1.5	Forest - Subtropical/Tropical Dry
Cyanea sessilifolia	1.6	Forest - Subtropical/Tropical Moist Lowland
Cyanoramphus ulietanus	1.6	Forest - Subtropical/Tropical Moist Lowland
Cyanoramphus zealandicus	1.6	Forest - Subtropical/Tropical Moist Lowland
Cyclura onchiopsis	13.1	Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands
Cyclura onchiopsis	1.5	Forest - Subtropical/Tropical Dry
Cyclura onchiopsis	2.1	Savanna - Dry
Cyclura onchiopsis	3.5	Shrubland - Subtropical/Tropical Dry
Cynops wolterstorffi	15.7	Artificial/Aquatic - Irrigated Land (includes irrigation channels)
Cynops wolterstorffi	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Cynops wolterstorffi	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Cynops wolterstorffi	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Cyperus rockii	1.9	Forest - Subtropical/Tropical Moist Montane
Cyprinodon arcuatus	5.9	Wetlands (inland) - Freshwater Springs and Oases
Cyprinodon ceciliae	5.9	Wetlands (inland) - Freshwater Springs and Oases
Cyprinodon inmemoriam	5.9	Wetlands (inland) - Freshwater Springs and Oases
Cyprinus yilongensis	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Cyrtandra olona	1.6	Forest - Subtropical/Tropical Moist Lowland
Delilia inelegans	18	Unknown
Delissea niihauensis	1.5	Forest - Subtropical/Tropical Dry
Delissea subcordata	1.6	Forest - Subtropical/Tropical Moist Lowland
Delissea undulata	1.5	Forest - Subtropical/Tropical Dry
Deloneura immaculata	1.5	Forest - Subtropical/Tropical Dry
Deloneura immaculata	2.1	Savanna - Dry
Diaphorapteryx hawkinsi	1.4	Forest - Temperate
Dicrogonatus gardineri	1.6	Forest - Subtropical/Tropical Moist Lowland
Drepanis funerea	1.6	Forest - Subtropical/Tropical Moist Lowland
Drepanis pacifica	1.6	Forest - Subtropical/Tropical Moist Lowland
Dromaius baudinianus	1.4	Forest - Temperate
Dromaius minor	2.1	Savanna - Dry
Dryolimnas augusti	18	Unknown
Dryophthorus distinguendus	1.6	Forest - Subtropical/Tropical Moist Lowland
Dryopteris ascensionis	3.7	Shrubland - Subtropical/Tropical High Altitude
Dryopteris ascensionis	6	Rocky areas (eg. inland cliffs, mountain peaks)
Dusicyon australis	18	Unknown
Dusicyon avus	3.5	Shrubland - Subtropical/Tropical Dry
Dusicyon avus	4.4	Grassland - Temperate
Dusicyon avus	4.5	Grassland - Subtropical/Tropical Dry
Dysmorodrepanis munroi	1.5	Forest - Subtropical/Tropical Dry
Eclectus infectus	1.6	Forest - Subtropical/Tropical Moist Lowland
Ectopistes migratorius	1.4	Forest - Temperate
Elimia clausa	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Elimia fusiformis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Elimia jonesi	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Elimia pilsbryi	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Emoia nativitatis	1.6	Forest - Subtropical/Tropical Moist Lowland
Empetrichthys merriami	5.9	Wetlands (inland) - Freshwater Springs and Oases
Epioblasma arcaeformis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Epioblasma biemarginata	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Epioblasma flexuosa	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Epioblasma haysiana	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Epioblasma lenior	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Epioblasma lewisii	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Epioblasma personata	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Epioblasma propinqua	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Epioblasma sampsonii	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Epioblasma stewardsonii	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Eriocaulon inundatum	5.8	Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
Eriocaulon jordanii	15.8	Artificial/Aquatic - Seasonally Flooded Agricultural Land
Eriocaulon jordanii	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Erythrolamprus perfuscus	1.6	Forest - Subtropical/Tropical Moist Lowland
Erythromachus leguati	1.6	Forest - Subtropical/Tropical Moist Lowland
Etheostoma sellare	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Etlingera heyneana	1.6	Forest - Subtropical/Tropical Moist Lowland
Eucarlia alluaudi	1.6	Forest - Subtropical/Tropical Moist Lowland
Eulophia stenopetala	1.4	Forest - Temperate
Euphrasia mendoncae	4.4	Grassland - Temperate
Evarra bustamantei	15.9	Artificial/Aquatic - Canals and Drainage Channels, Ditches
Evarra eigenmanni	15.9	Artificial/Aquatic - Canals and Drainage Channels, Ditches
Evarra tlahuacensis	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Falco duboisi	3.6	Shrubland - Subtropical/Tropical Moist
Fissidens microstictus	1.4	Forest - Temperate
