ObservationDate	StationNumber	StationName	Latitude	Longitude	TotalPrecipAmt
11/3/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0.03
11/3/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.01
11/3/2020	 NH-HL-93	 Manchester 2.2 WNW (Music Room)	42.99901	-71.48316	0
11/2/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.16
11/2/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.22
11/2/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0.14
11/2/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.18
11/2/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.15
11/2/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0.16
11/2/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.15
11/1/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
11/1/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0
11/1/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
11/1/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
11/1/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
11/1/2020	 NH-HL-87	 Brookline 1.2 SSW	42.718927	-71.667576	0
10/31/2020	 NH-HL-87	 Brookline 1.2 SSW	42.718927	-71.667576	0.34
10/31/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.27
10/31/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.25
10/31/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.34
10/31/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.21
10/31/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0.15
10/31/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.2
10/30/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.86
10/30/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0.79
10/30/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	0.94
10/30/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.84
10/30/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.98
10/30/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.84
10/30/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0.9
10/30/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.96
10/30/2020	 NH-HL-87	 Brookline 1.2 SSW	42.718927	-71.667576	0.81
10/30/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0.77
10/29/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0.3
10/29/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.36
10/29/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0.23
10/29/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.3
10/29/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.36
10/29/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.36
10/29/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	0.34
10/29/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0.3
10/29/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.33
10/28/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.03
10/28/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0.05
10/28/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	0.07
10/28/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.06
10/28/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.06
10/28/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.07
10/28/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0.09
