species	code	habitat
Tapirus indicus	4.6	Grassland - Subtropical/Tropical Seasonally Wet/Flooded
Tapirus indicus	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Tapirus indicus	5.2	Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks
Tapirus indicus	5.3	Wetlands (inland) - Shrub Dominated Wetlands
Tapirus indicus	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Gastrotheca stictopleura	14.2	Artificial/Terrestrial - Pastureland
Gastrotheca stictopleura	15.2	Artificial/Aquatic - Ponds (below 8ha)
Gastrotheca stictopleura	1.9	Forest - Subtropical/Tropical Moist Montane
Gastrotheca stictopleura	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Gastrotheca stictopleura	5.8	Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
Murdannia stricta	5.8	Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
Murdannia stricta	6	Rocky areas (eg. inland cliffs, mountain peaks)
Monanthotaxis faulknerae	1.6	Forest - Subtropical/Tropical Moist Lowland
Monanthotaxis faulknerae	2.1	Savanna - Dry
Hygrocybe pakelo	1.9	Forest - Subtropical/Tropical Moist Montane
Sphaerodactylus ocoae	14.4	Artificial/Terrestrial - Rural Gardens
Sphaerodactylus ocoae	1.5	Forest - Subtropical/Tropical Dry
Orculella aragonica	5.3	Wetlands (inland) - Shrub Dominated Wetlands
Orculella aragonica	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Orculella aragonica	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Erythrina ankaranensis	1.5	Forest - Subtropical/Tropical Dry
Erythrina ankaranensis	3.5	Shrubland - Subtropical/Tropical Dry
Doratogonus zuluensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Spiralothelphusa fernandoi	1.6	Forest - Subtropical/Tropical Moist Lowland
Spiralothelphusa fernandoi	1.8	Forest - Subtropical/Tropical Swamp
Spiralothelphusa fernandoi	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Gracula venerata	14.3	Artificial/Terrestrial - Plantations
