species	code	habitat
Encephalartos trispinosus	6	Rocky areas (eg. inland cliffs, mountain peaks)
Carrhotus bellus	1.6	Forest - Subtropical/Tropical Moist Lowland
Carrhotus bellus	1.7	Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level
Clibadium alatum	1.6	Forest - Subtropical/Tropical Moist Lowland
Clibadium alatum	1.9	Forest - Subtropical/Tropical Moist Montane
Angraecum pyriforme	1.9	Forest - Subtropical/Tropical Moist Montane
Cyanella aquatica	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Cyanella aquatica	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Cyanella aquatica	5.8	Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
Dypsis pusilla	1.6	Forest - Subtropical/Tropical Moist Lowland
Doratogonus meridionalis	1.9	Forest - Subtropical/Tropical Moist Montane
Sylvilagus dicei	1.9	Forest - Subtropical/Tropical Moist Montane
Sylvilagus dicei	3.7	Shrubland - Subtropical/Tropical High Altitude
Sylvilagus dicei	4.7	Grassland - Subtropical/Tropical High Altitude
Haplochromis piceatus	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Dracontomelon lenticulatum	1.6	Forest - Subtropical/Tropical Moist Lowland
Ardisia alabastro-alata	1.6	Forest - Subtropical/Tropical Moist Lowland
Ardisia alabastro-alata	1.9	Forest - Subtropical/Tropical Moist Montane
Trachypteris drakeana	1.6	Forest - Subtropical/Tropical Moist Lowland
Trachypteris drakeana	6	Rocky areas (eg. inland cliffs, mountain peaks)
Eleothreptus candicans	2.1	Savanna - Dry
Eleothreptus candicans	4.5	Grassland - Subtropical/Tropical Dry
Cotylelobium lanceolatum	1.6	Forest - Subtropical/Tropical Moist Lowland
Cotylelobium lanceolatum	1.9	Forest - Subtropical/Tropical Moist Montane
Gynacantha bispina	1.6	Forest - Subtropical/Tropical Moist Lowland
Gynacantha bispina	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Croton ynesae	1.4	Forest - Temperate
Croton ynesae	1.5	Forest - Subtropical/Tropical Dry
Pyrrhura lepida	1.6	Forest - Subtropical/Tropical Moist Lowland
Alopia alpina	6	Rocky areas (eg. inland cliffs, mountain peaks)
Gravesia setifera	1.6	Forest - Subtropical/Tropical Moist Lowland
